
2024/01/22 (17:09:22) | ===> btop++ v.1.3.0
2024/01/22 (17:09:22) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/01/22 (22:42:05) | ===> btop++ v.1.3.0
2024/01/22 (22:42:05) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/01/23 (23:18:58) | ===> btop++ v.1.3.0
2024/01/23 (23:18:58) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/01/23 (23:31:56) | ===> btop++ v.1.3.0
2024/01/23 (23:31:56) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/01/24 (00:18:55) | ===> btop++ v.1.3.0
2024/01/24 (00:18:55) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/01/24 (19:30:32) | ===> btop++ v.1.3.0
2024/01/24 (19:30:32) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/01/24 (20:27:41) | ===> btop++ v.1.3.0
2024/01/24 (20:27:41) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/01/25 (14:37:01) | ===> btop++ v.1.3.0
2024/01/25 (14:37:01) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/01/25 (15:16:55) | ===> btop++ v.1.3.0
2024/01/25 (15:16:55) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/01/25 (15:30:47) | ===> btop++ v.1.3.0
2024/01/25 (15:30:47) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/01/25 (15:44:20) | ===> btop++ v.1.3.0
2024/01/25 (15:44:20) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/01/25 (17:04:48) | ===> btop++ v.1.3.0
2024/01/25 (17:04:48) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/01/26 (01:51:53) | ===> btop++ v.1.3.0
2024/01/26 (01:51:53) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/01/26 (01:52:39) | ===> btop++ v.1.3.0
2024/01/26 (01:52:39) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/01/26 (01:54:08) | ===> btop++ v.1.3.0
2024/01/26 (01:54:08) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/01/26 (14:30:56) | ===> btop++ v.1.3.0
2024/01/26 (14:30:56) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/01/26 (14:33:38) | ===> btop++ v.1.3.0
2024/01/26 (14:33:38) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/01/26 (16:03:25) | ===> btop++ v.1.3.0
2024/01/26 (16:03:25) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/01/26 (16:47:37) | ===> btop++ v.1.3.0
2024/01/26 (16:47:37) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/01/27 (01:09:26) | ===> btop++ v.1.3.0
2024/01/27 (01:09:26) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/01/27 (01:34:14) | ===> btop++ v.1.3.0
2024/01/27 (01:34:14) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/01/27 (02:43:11) | ===> btop++ v.1.3.0
2024/01/27 (02:43:11) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/01/28 (00:43:54) | ===> btop++ v.1.3.0
2024/01/28 (00:43:54) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/01/28 (01:46:48) | ===> btop++ v.1.3.0
2024/01/28 (01:46:48) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/01/28 (23:13:10) | ===> btop++ v.1.3.0
2024/01/28 (23:13:10) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/01/28 (23:55:13) | ===> btop++ v.1.3.0
2024/01/28 (23:55:13) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/01/29 (00:51:33) | ===> btop++ v.1.3.0
2024/01/29 (00:51:33) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/01/29 (01:23:08) | ===> btop++ v.1.3.0
2024/01/29 (01:23:08) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/01/29 (14:23:37) | ===> btop++ v.1.3.0
2024/01/29 (14:23:37) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/01/29 (15:15:52) | ===> btop++ v.1.3.0
2024/01/29 (15:15:52) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/01/29 (21:08:05) | ===> btop++ v.1.3.0
2024/01/29 (21:08:05) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/01/29 (22:31:54) | ===> btop++ v.1.3.0
2024/01/29 (22:31:54) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/01/30 (19:49:12) | ===> btop++ v.1.3.0
2024/01/30 (19:49:12) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/02 (07:09:29) | ===> btop++ v.1.3.0
2024/02/02 (07:09:29) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/02 (18:05:24) | ===> btop++ v.1.3.0
2024/02/02 (18:05:24) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/02 (21:12:07) | ===> btop++ v.1.3.0
2024/02/02 (21:12:07) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/03 (09:06:32) | ===> btop++ v.1.3.0
2024/02/03 (09:06:32) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/03 (12:27:40) | ===> btop++ v.1.3.0
2024/02/03 (12:27:40) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/03 (12:27:51) | ===> btop++ v.1.3.0
2024/02/03 (12:27:51) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/03 (12:29:08) | ===> btop++ v.1.3.0
2024/02/03 (12:29:08) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/02/03 (13:46:31) | ERROR: Exception during Config::unlock() : unordered_map::at

2024/02/03 (13:46:35) | ===> btop++ v.1.3.0
2024/02/03 (13:46:35) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/03 (13:46:43) | ===> btop++ v.1.3.0
2024/02/03 (13:46:43) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/03 (20:08:55) | ===> btop++ v.1.3.0
2024/02/03 (20:08:55) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/03 (20:18:46) | ===> btop++ v.1.3.0
2024/02/03 (20:18:46) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/04 (19:08:08) | ===> btop++ v.1.3.0
2024/02/04 (19:08:08) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/05 (08:00:21) | ===> btop++ v.1.3.0
2024/02/05 (08:00:21) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/05 (08:04:16) | ===> btop++ v.1.3.0
2024/02/05 (08:04:16) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/05 (08:47:58) | ===> btop++ v.1.3.0
2024/02/05 (08:47:58) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/05 (11:16:22) | ===> btop++ v.1.3.0
2024/02/05 (11:16:22) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/05 (16:49:31) | ===> btop++ v.1.3.0
2024/02/05 (16:49:31) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/05 (16:51:27) | ===> btop++ v.1.3.0
2024/02/05 (16:51:27) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/05 (17:23:52) | ===> btop++ v.1.3.0
2024/02/05 (17:23:52) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/05 (19:22:28) | ===> btop++ v.1.3.0
2024/02/05 (19:22:28) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/05 (19:23:51) | ===> btop++ v.1.3.0
2024/02/05 (19:23:51) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/05 (19:38:18) | ===> btop++ v.1.3.0
2024/02/05 (19:38:18) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

